year_month,city,boosted_rate_0-4 Years,boosted_rate_12-15 Years,boosted_rate_16-19 Years,boosted_rate_20-29 Years,boosted_rate_30-49 Years,boosted_rate_5-11 Years,boosted_rate_50-64 Years,boosted_rate_65-74 Years,boosted_rate_75+ Years,fully_vac_rate_0-19 Years,fully_vac_rate_0-4 Years,fully_vac_rate_12-15 Years,fully_vac_rate_16-19 Years,fully_vac_rate_20-29 Years,fully_vac_rate_30-49 Years,fully_vac_rate_5-11 Years,fully_vac_rate_50-64 Years,fully_vac_rate_65-74 Years,fully_vac_rate_75+ Years,onedose_vac_rate_0-19 Years,onedose_vac_rate_0-4 Years,onedose_vac_rate_12-15 Years,onedose_vac_rate_16-19 Years,onedose_vac_rate_20-29 Years,onedose_vac_rate_30-49 Years,onedose_vac_rate_5-11 Years,onedose_vac_rate_50-64 Years,onedose_vac_rate_65-74 Years,onedose_vac_rate_75+ Years,onedose_vac_rate_Total_x,boosted_rate_AI/AN,boosted_rate_Asian,boosted_rate_Black,boosted_rate_Hispanic,boosted_rate_Multi,boosted_rate_NH/PI,boosted_rate_Other/Unknown,boosted_rate_White,fully_vac_rate_AI/AN,fully_vac_rate_Asian,fully_vac_rate_Black,fully_vac_rate_Hispanic,fully_vac_rate_Multi,fully_vac_rate_NH/PI,fully_vac_rate_Other/Unknown,fully_vac_rate_White,onedose_vac_rate_AI/AN,onedose_vac_rate_Asian,onedose_vac_rate_Black,onedose_vac_rate_Hispanic,onedose_vac_rate_Multi,onedose_vac_rate_Other/Unknown,onedose_vac_rate_Total_y,onedose_vac_rate_White,boosted_rate_Female,boosted_rate_Male,boosted_rate_Other,boosted_rate_Total,fully_vac_rate_Female,fully_vac_rate_Male,fully_vac_rate_Other,fully_vac_rate,onedose_vac_rate_Female,onedose_vac_rate_Male,onedose_vac_rate_Other,onedose_vac_rate_Total,Year,Month,Labor Force,Employed,Unemployed,city_rate,Massachusetts Rate
2021-03,Chelsea,,,,12.0,22.0,,39.0,60.0,61.0,0.0,,,,10.0,14.000000000000000,,23.0,53.0,71.0,1.0,,,,17.0,25.0,,42.0,78.0,83.0,26.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,25.0,11.0,7.000000000000000,18.0,,inf,32.0,57.00000000000000,46.0,18.0,13.0,28.000000000000000,inf,98.0,47.0,24.0,19.0,,21.0,19.0,13.0,inf,48.0,30.0,22.0,inf,50.0,2021,3,20532,18874,1658,8.1,6.7
2021-03,New Bedford,,,,5.0,12.0,,25.0,43.0,42.0,0.0,,,,5.0,9.0,,15.0,33.0,46.0,0.0,,,,9.0,16.0,,29.000000000000000,59.0,64.0,21.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,9.0,5.0,9.0,3.0,4.0,89.0,inf,13.0,8.0,9.0,16.0,6.0,7.000000000000000,inf,46.0,22.0,17.0,14.000000000000000,,23.0,14.000000000000000,9.0,inf,12.0,24.0,17.0,inf,21.0,2021,3,47594,42658,4936,10.4,6.7
2021-03,Newton,,,,27.0,56.00000000000000,,66.0,74.0,76.0,1.0,,,,12.0,25.0,,30.0,68.0,84.0,3.0,,,,24.0,44.0,,58.00000000000000,95.0,97.0,43.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,48.0,15.0,22.0,11.0,31.0,,inf,28.000000000000000,52.0,25.0,38.0,21.0,51.0,inf,66.0,44.0,46.0,42.0,inf,44.0,30.0,24.0,inf,27.0,46.0,38.0,inf,43.0,2021,3,46864,44874,1990,4.2,6.7
2021-03,Revere,,,,12.0,19.0,,29.000000000000000,47.0,42.0,1.0,,,,10.0,13.0,,21.0,48.0,53.0,2.0,,,,19.0,26.0,,39.0,68.0,65.0,29.000000000000000,16.0,25.0,11.0,13.0,64.0,,inf,25.0,67.0,13.0,12.0,8.0,29.000000000000000,,inf,23.0,65.0,24.0,19.0,15.0,46.0,inf,60.0,35.0,22.0,18.0,inf,20.0,20.0,14.000000000000000,inf,31.0,33.0,24.0,inf,29.000000000000000,2021,3,29100,26564,2536,8.7,6.7
2021-03,Wellesley,,,,23.0,53.0,,68.0,62.0,72.0,1.0,,,,6.0,17.0,,21.0,54.0,82.0,2.0,,,,16.0,34.0,,51.0,79.0,94.0,33.0,,25.0,19.0,18.0,93.0,,inf,41.0,,9.0,14.000000000000000,6.0,34.0,,inf,20.0,,16.0,24.0,13.0,58.00000000000000,inf,97.0,35.0,38.0,39.0,,,20.0,17.0,inf,54.0,33.0,32.0,inf,33.0,2021,3,13134,12553,581,4.4,6.7
2021-04,Chelsea,,,,12.0,22.0,,39.0,60.0,61.0,1.0,,,,22.0,31.0,,48.0,77.0,79.0,7.000000000000000,,,,44.0,62.0,,81.0,91.0,89.0,50.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,52.0,19.0,17.0,33.0,,inf,49.0,57.00000000000000,91.0,30.0,36.0,48.0,inf,98.0,68.0,24.0,19.0,,21.0,33.0,25.0,inf,48.0,55.00000000000000,46.0,inf,50.0,2021,4,20384,18898,1486,7.3,6.0
2021-04,New Bedford,,,,5.0,12.0,,25.0,43.0,42.0,1.0,,,,10.0,19.0,,33.0,58.00000000000000,59.0,3.0,,,,21.0,34.0,,54.0,72.0,72.0,34.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,9.0,11.0,17.0,7.000000000000000,8.0,89.0,inf,24.0,17.0,29.000000000000000,28.000000000000000,17.0,13.0,inf,46.0,34.0,17.0,14.000000000000000,,23.0,25.0,18.0,inf,22.0,37.0,30.0,inf,34.0,2021,4,47692,43387,4305,9.0,6.0
2021-04,Newton,,,,27.0,56.00000000000000,,66.0,74.0,76.0,5.0,,,,28.000000000000000,49.0,,64.0,90.0,90.0,14.000000000000000,,,,55.00000000000000,85.0,,93.0,99.0,100.0,66.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,48.0,29.000000000000000,40.0,24.0,57.00000000000000,,inf,46.0,67.0,51.0,58.00000000000000,41.0,91.0,inf,66.0,64.0,46.0,42.0,inf,44.0,48.0,41.0,inf,45.0,68.0,63.0,inf,66.0,2021,4,46698,44929,1769,3.8,6.0
2021-04,Revere,,,,12.0,19.0,,29.000000000000000,47.0,42.0,2.0,,,,23.0,31.0,,44.0,67.0,59.0,6.0,,,,45.0,56.00000000000000,,64.0,77.0,69.0,48.0,16.0,25.0,11.0,13.0,64.0,,inf,25.0,67.0,28.000000000000000,20.0,18.0,54.0,,inf,37.0,65.0,50.0,31.0,34.0,76.0,inf,60.0,49.0,22.0,18.0,inf,20.0,35.0,28.000000000000000,inf,31.0,51.0,44.0,inf,48.0,2021,4,28777,26597,2180,7.6,6.0
2021-04,Wellesley,,,,23.0,53.0,,68.0,62.0,72.0,4.0,,,,20.0,41.0,,59.0,74.0,88.0,14.000000000000000,,,,49.0,77.0,,92.0,82.0,96.0,57.00000000000000,,25.0,19.0,18.0,93.0,,inf,41.0,,19.0,28.000000000000000,16.0,72.0,,inf,38.0,,40.0,49.0,29.000000000000000,93.0,inf,97.0,58.00000000000000,38.0,39.0,,,36.0,35.0,inf,54.0,57.00000000000000,58.00000000000000,inf,57.00000000000000,2021,4,13087,12568,519,4.0,6.0
2021-05,Chelsea,,0.0,7.000000000000000,12.0,22.0,,39.0,60.0,61.0,4.0,,43.0,38.0,43.0,60.0,,77.0,87.0,83.0,9.0,,31.0,64.0,62.0,81.0,,94.0,97.0,93.0,65.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,90.0,29.000000000000000,36.0,47.0,,inf,65.0,57.00000000000000,99.0,39.0,49.0,62.0,inf,98.0,78.0,24.0,19.0,,21.0,53.0,44.0,inf,48.0,69.0,60.0,inf,65.0,2021,5,20376,18886,1490,7.3,5.7
